Question,Datatype,Possible Answers,input type,required?,skip logic?,concept for question,concepts for answers,group name (if part of concept group),concept group mapping
Trimester At Enrollment,Coded,First trimester | Second trimester | Third trimester,radio,No,no,PIH:11661,CIEL:1721|CIEL:1722|CIEL:1723,,
Sl anc number of visits,Coded,N/A,radio,No,no,CIEL:1590,,,
Referred By,Coded,Peripheral Health Unit (PHU) | CHW | Traditional birth attendant (TBA) | Self-refer | Other,radio,No,no,PIH:Type of referring service,PIH:12368|CIEL:1555|CIEL:1575|CIEL:978|CIEL:5622,,
Reason for referral,Coded,N/A,radio,No,no,CIEL:164359,,,
Weight of other babies,Coded,Low | Normal | High,checkbox,No,no,PIH:20072,CIEL:1407|CIEL:1115|CIEL:1408,Weight of other babies,
Nextofkin,Coded,N/A,radio,No,no,CIEL:162729,,,
Nextofkin,Coded,N/A,radio,No,no,PIH:6194,,,
Number Neonatal Death,Coded,N/A,radio,Yes,no,PIH:13241,,,
Number Prior Stillbirth,Coded,N/A,radio,Yes,no,CIEL:160077,,,
Risk Factors,Coded,History of spontaneous abortion | History of retained placenta | Eclampsia | Preeclampsia | Antepartum haemorrhage | Postpartum haemorrhage,checkbox,No,no,CIEL:160079,CIEL:156650|CIEL:166426|PIH:Eclampsia|PIH:47|PIH:ANTEPARTUM HEMORRHAGE|CIEL:230,Risk Factors,
Risk Factors,Coded,Previous c-section,checkbox,No,High risk pregnancy due to previous caesarian section → show #c-section-details,CIEL:160079,CIEL:163155,,
Num Previous CSection,Coded,N/A,radio,No,no,CIEL:160081,,,
Years Since CSection,Coded,N/A,radio,No,no,PIH:20723,,,
Num Previous CSection,Coded,HIV | Heart disease | Diabetes | Hypertension | Multiple gestation | Placental abruption | Placenta praevia | Foetal death | Malpresentation of foetus | Victim of GBV | Syphilis,checkbox,No,no,CIEL:160079,CIEL:138405|PIH:HEART DISEASE|PIH:DIABETES|PIH:HYPERTENSION|CIEL:115491|CIEL:130108|CIEL:114127|CIEL:140399|CIEL:115939|CIEL:165088|CIEL:112493,Num Previous CSection,
Num Previous CSection,Coded,Other,radio,No,no,CIEL:160079,PIH:OTHER,,
Grava,Coded,N/A,radio,No,no,CIEL:5624,,,
Para,Coded,N/A,radio,No,no,CIEL:1053,,,
Abortus,Coded,N/A,radio,Yes,no,CIEL:1823,,,
Living,Coded,N/A,radio,Yes,no,CIEL:1825,,,
Obstetrics history comment,Coded,N/A,radio,No,no,PIH:14177,,,
Last Period,Date,N/A,date,No,no,CIEL:1427,,,
Due Date,Date,N/A,date,No,no,CIEL:5596,,,
Ga Representation,Coded,N/A,radio,No,no,CIEL:1438,,,
Subform: prior-vital-signs-widget.xml,Other,Subform — configuration/pih/subforms/prior-vital-signs-widget.xml,subform,No,no,,,,
Subform: vital-signs-anc-widget.xml,Other,Subform — configuration/pih/subforms/vital-signs-anc-widget.xml,subform,No,no,,,,
Blood type,Coded,N/A,radio,No,no,PIH:BLOOD TYPING,,,
Malaria RDT,Coded,Positive | Negative | Not tested,radio,No,no,CIEL:1643,CIEL:703|CIEL:664|CIEL:1138,,
Subform: rapid-tests-widget.xml,Other,Subform — configuration/pih/subforms/rapid-tests-widget.xml,subform,No,no,,,,
Sickling exam,Coded,Positive | Negative | Not tested,radio,No,no,CIEL:160225,CIEL:703|CIEL:664|CIEL:1138,,
Urine glucose,Coded,3+ | 2+ | 1+ | Trace | Negative,radio,No,no,CIEL:159734,CIEL:1365|CIEL:1364|CIEL:1363|CIEL:1362|CIEL:664,,
