Question,Datatype,Possible Answers,input type,required?,skip logic?,concept for question,concepts for answers,group name (if part of concept group),concept group mapping
Admission date/time,Coded,N/A,radio,No,no,CIEL:1640,,,
Grava,Coded,N/A,radio,No,no,CIEL:5624,,,
Para,Coded,N/A,radio,No,no,CIEL:1053,,,
Gestational age,Coded,N/A,radio,No,no,CIEL:165425,,,
Calculated Estimated Delivery Date,Date,N/A,date,No,no,CIEL:1427,,,
Time of start of labour,Coded,N/A,radio,No,no,CIEL:163444,,,
Presentation and position:,Coded,N/A,radio,No,Other → show #other-presentation,CIEL:160090,,,
Zl if Other Specify,Coded,N/A,radio,No,no,PIH:14414,,,
Delivery date/time,Date,N/A,date,Yes,no,CIEL:5599,,,
Type,Coded,Spontaneous vaginal delivery | Breech | Delivery by cesarean section,radio,No,no,PIH:11663,CIEL:1170|PIH:1172|CIEL:155884,,
Outcome,Coded,Alive | FSB | MSB,radio,No,no,CIEL:159917,CIEL:151849|CIEL:159916|CIEL:135436,,
Was the partograph used?,Coded,Yes | No,radio,No,no,PIH:13964,CIEL:1065|CIEL:1066,,
Uterotonic given immediately after birth? (Oxytocin/ HSC),Coded,Yes | No,radio,No,no,PIH:14373,CIEL:1065|CIEL:1066,,
Perineal Tear,Coded,"Perineal laceration, first degree | Perineal laceration, second degree | Perineal laceration, third degree | Perineal laceration, fourth degree",radio,No,no,CIEL:165247,CIEL:165521|CIEL:165522|CIEL:165523|CIEL:165524,,
Sex,Coded,M | F,radio,No,no,CIEL:1587,CIEL:1534|CIEL:1535,,
(Birth) Weight (kg),Coded,N/A,radio,Yes,no,CIEL:5916,,,
Apgar Score1,Coded,N/A,radio,No,no,PIH:14419,,,
Apgar Score,Coded,N/A,radio,No,no,CIEL:159604,,,
Apgar Score10,Coded,N/A,radio,No,no,PIH:14785,,,
Breastfeeding initiated within 1 hour after birth,Coded,Yes | No,radio,No,no,CIEL:161543,CIEL:1065|CIEL:1066,,
Mother,Coded,Gbv | Chorioamnionitis | severe pre-eclampsia | Eclampsia | Prolonged labour | Acute pulmonary oedema | Puerperal sepsis | Herpes | Syphilis,checkbox,No,no,PIH:DIAGNOSIS,CIEL:165088|CIEL:145548|CIEL:113006|PIH:Eclampsia|CIEL:113602|CIEL:121856|CIEL:130|CIEL:138706|CIEL:112493,Mother,PIH:Visit Diagnoses
Mother,Coded,Other STI,checkbox,No,no,PIH:6644,PIH:174,,
Mother,Coded,Other,checkbox,No,no,PIH:6644,PIH:OTHER,,
Mother,Coded,Postpartum hemorrhage,checkbox,No,no,PIH:DIAGNOSIS,PIH:POSTPARTUM HEMORRHAGE,Mother,PIH:Visit Diagnoses
Mother,Coded,N/A,radio,No,no,PIH:Estimated blood loss,,,
Baby,Coded,abnormal placenta | abnormal presentation | cephalopelvic distortion | low birth weight | low birth weight | low birth weight | low birth weight | low birth weight | Premature less than 28 weeks | Premature (28-32) | Premature (32-36) | Respiratory distress | birth asphyxia | Fetal distress | Fetal demise | fetal retardation | Congenital malformation | rupture membrane | aspiration meconium,checkbox,No,no,PIH:12564,CIEL:130109|CIEL:115939|CIEL:145935|CIEL:162217|CIEL:162218|CIEL:162219|CIEL:162237|CIEL:162239|CIEL:111523|PIH:11789|PIH:11790|CIEL:127639|PIH:Birth Asphyxia|PIH:Fetal distress|CIEL:116642|CIEL:118245|CIEL:143849|CIEL:129211|CIEL:115866,Baby,
HCW Name,Coded,N/A,radio,No,no,PIH:6592,,Newborn condition,CIEL:163391
HCW Cadre:,Coded,N/A,radio,No,Other → show #other-role,CIEL:1573,,Newborn condition,CIEL:163391
Zl if Other Specify,Coded,N/A,radio,No,no,PIH:14415,,Newborn condition,CIEL:163391
Counselled on family planning before discharge,Coded,Yes | No,radio,No,no,CIEL:1382,CIEL:1065|CIEL:1066,,
Accepted and received a family planning before discharge,Coded,Yes | No,radio,No,no,CIEL:166421,CIEL:1065|CIEL:1066,,
PAC (PostAbortion Care) type,Coded,Misoprostol,checkbox,No,no,PIH:14376,CIEL:79984,,
PAC (PostAbortion Care) type,Coded,Mifepristone / Misoprostol combination,checkbox,No,no,PIH:14376,CIEL:162484,,
PAC (PostAbortion Care) type,Coded,Manual vacuum aspiration,checkbox,No,no,PIH:14376,CIEL:159728,,
PAC (PostAbortion Care) type,Coded,Dilation and curettage,checkbox,No,no,PIH:14376,CIEL:1637,,
Discharge Date,Coded,N/A,radio,No,no,PIH:3800,,,
Disposition,Other,Disposition widget,disposition widget,Yes,no,,,,
