Uuid,Void/Retire,Mappings|SAME-AS|OpenBoxes,Name,Concept Drug,Concept Dosage Form,Ingredient 1,Ingredient 1 Strength,Ingredient 1 Units,Ingredient 2,Ingredient 2 Strength,Ingredient 2 Units,Ingredient 3,Ingredient 3 Strength,Ingredient 3 Units,Ingredient 4,Ingredient 4 Strength,Ingredient 4 Units
59ce106d-d9a9-4366-abff-97abb6ff8f9a,,11757,"Bisacodyl, 5mg enteric coated tablet",CIEL:72223,Tablet,CIEL:72223,5,Milligram,,,,,,,,,
75007c92-0e76-44d9-8adf-da1a571ba347,,18238,"Bisoprolol fumarate, 10mg tablet",CIEL:72248,Tablet,CIEL:72248,10,Milligram,,,,,,,,,
219359c9-841e-48ec-bf13-a7d41819fbf9,TRUE,12167,"Bisoprolol fumarate, 5mg tablet",CIEL:72248,Tablet,CIEL:72248,5,Milligram,,,,,,,,,
68111561-d633-4d6c-b0fb-ecadb08a7ecc,,12887,"Bromocriptine mesilate, 2.5mg tablet",CIEL:72411,Tablet,CIEL:72411,2.5,Milligram,,,,,,,,,
1ca5c9f5-ea92-4f07-988e-80c2fed500d9,,10208,"Bupivacaine hydrochloride, Hyperbaric/spinal solution for injection, 0.5% (5mg/mL), 4mL ampoule",CIEL:72506,Ampule(s),CIEL:72506,,,,,,,,,,,
064fbb20-26e8-46e5-b95e-c4d9b9cfa562,TRUE,18390,"Bupivacaine hydrochloride, Preservative free solution for injection,  0.5% (5mg/mL), 30mL vial",CIEL:72506,Vial,CIEL:72506,,,,,,,,,,,
34c1e7ab-80a7-489a-8eb7-074661b250b1,,11154,"Bupivacaine hydrochloride, Solution for injection, 0.5% (5mg/mL), 20mL vial",CIEL:72506,Vial,CIEL:72506,,,,,,,,,,,
831dae75-ca02-4c20-955e-0ff62f2b5e67,,11090,"Caffeine citrate, Solution for injection, 20mg/mL, 3mL ampoule",CIEL:72610,Ampule(s),CIEL:72610,,,,,,,,,,,
78f95752-dfbe-11e9-8a34-2a2ae2dbcce4,,10088,"Caffeine citrate, Oral solution, 20mg/mL, 3mL vial",CIEL:72610,Vial,CIEL:72610,,,,,,,,,,,
4957674b-a8d2-4274-a6a6-b20eed38a652,TRUE,10490,"Caffeine citrate, 20mg/mL, 1 mL ampoule, for injection/oral solution",CIEL:72610,Ampule(s),CIEL:72610,,,,,,,,,,,
46aadfce-b785-4989-9b0e-811238b9a775,TRUE,11752,"Calamine, Skin lotion, 15%, 100mL bottle",CIEL:493,Bottle,CIEL:493,,,,,,,,,,,
83d526fd-c427-4995-a804-07e1a9631a34,,12252,"Calamine, Skin lotion, 15%, 500mL bottle",CIEL:493,Bottle,CIEL:493,,,,,,,,,,,
c6a8df16-fce4-11e9-8f0b-362b9e155667,TRUE,12741,"Calcium carbonate, 1177mg chewable tablet",CIEL:72660,Tablet,CIEL:72660,1177,Milligram,,,,,,,,,
c6a8e66e-fce4-11e9-8f0b-362b9e155667,,12503,"Calcium Vitamin D3 (Cholecalciferol), 500mg/400 UI, chewable tablet",CIEL:72660,Tablet,CIEL:72660,750,Milligram,,,,,,,,,
e6b25c2c-6a34-49c5-9224-13b84cc7e6a5,,10941,"Calcium folinate (Leucovorin), Solution for injection, 10mg/mL, 5mL vial (*R)",CIEL:78743,Vial,CIEL:78743,,,,,,,,,,,
78a5211c-c325-4602-90e0-fcf5a0101a9e,,10362,"Calcium gluconate, Solution for injection, 100mg/mL (10%), 10mL ampoule",CIEL:72678,Ampule(s),CIEL:72678,,,,,,,,,,,
c6a8e948-fce4-11e9-8f0b-362b9e155667,TRUE,18075,"Calcium lactate, 300mg tablet",CIEL:72686,Tablet,CIEL:72686,300,Milligram,,,,,,,,,
7134a5ba-2033-4833-a1ac-d256fd005932,,11405,"Captopril, 25mg tablet",CIEL:72808,Tablet,CIEL:72808,25,Milligram,,,,,,,,,
e371d811-d32c-4f6e-8493-2fa667b7b44c,,11634,"Carbamazepine, 200mg film coated tablet",CIEL:72822,Tablet,CIEL:72822,200,Milligram,,,,,,,,,
05644010-a050-4ee6-9121-44c3953deb78,,16247,"Carbetocin, Solution for injection, 100 micrograms/mL, 1mL ampoule",CIEL:168058,Ampule(s),CIEL:168058,,,,,,,,,,,
9939c5bd-aa24-4703-a146-aead0782862c,,12742,"Carbimazole, 5mg tablet",CIEL:72848,Tablet,CIEL:72848,5,Milligram,,,,,,,,,
d809f82b-7612-4da2-b075-531f586bdd7c,TRUE,11158,"Carvedilol, 12.5mg tablet",CIEL:72944,Tablet,CIEL:72944,12.5,Milligram,,,,,,,,,
c6a8ea7e-fce4-11e9-8f0b-362b9e155667,,12201,"Cefalexin, 250mg capsule",CIEL:73087,Capsule,CIEL:73087,250,Milligram,,,,,,,,,
4c908591-3adf-4601-b61c-4faddffbee56,,10167,"Cefalexin, 500mg capsule",CIEL:73087,Capsule,CIEL:73087,500,Milligram,,,,,,,,,
fd576d2f-1472-47d8-b925-3cebeb5b1c44,,10083,"Cefixime, 400mg film coated tablet",CIEL:72944,Tablet,CIEL:72944,400,Milligram,,,,,,,,,
88e7abe7-c50c-4b57-b1f2-121192e6209e,,10860,"Cefotaxime sodium, Powder for solution for injection, 1 gram vial",CIEL:73019,Vial,CIEL:73019,,,,,,,,,,,
92cc3428-4e7c-425e-a60f-61ecd93f4fb9,,13167,"Cefotaxime sodium, Powder for solution for injection, 500mg vial with solvent",CIEL:73019,Vial,CIEL:73019,,,,,,,,,,,
2379d0a0-e571-48ce-bbc2-a1ca7c1c0504,,11278,"Ceftriaxone, Powder for solution for injection, 250mg vial",CIEL:73041,Vial,CIEL:73041,,,,,,,,,,,
b697554f-491b-4ad4-a259-bb2f4f1d16a3,,10983,"Ceftriaxone, Powder for solution for injection, 1 gram vial",CIEL:73041,Vial,CIEL:73041,,,,,,,,,,,
199bd4a3-b4ab-4bcc-bb1d-52d4e270bf71,,11541,"Cetirizine hydrochloride, 10mg tablet",CIEL:73137,Tablet,CIEL:73137,10,Milligram,,,,,,,,,
881f7515-f318-444d-821b-dd34cba5f9b6,,10092,"Charcoal, Activated, Granules for oral suspension, 50 gram bottle",CIEL:70229,Bottle,CIEL:70229,,,,,,,,,,,
936afe5e-5788-4110-b2e7-f604e3f24396,,26500,"Chloramphenicol, Eye ointment, 1%, 4 gram tube",CIEL:73239,Tube,CIEL:73239,,,,,,,,,,,
57e41df2-d64c-4316-a4e4-35613bd36a35,TRUE,11696,"Chloramphenicol sodium succinate, Powder for solution for injection, 1 gram vial",CIEL:73241,Vial,CIEL:73241,,,,,,,,,,,
a94cfca9-e230-4909-af46-106ef5034cac,TRUE,10796,"Chloramphenicol, 250mg capsule",CIEL:73239,Capsule,CIEL:73239,250,Milligram,,,,,,,,,
d8283445-07f9-4af6-ac73-ffe4818a66b5,TRUE,10613,"Chloramphenicol, Eye ointment, 1%, 5 gram tube",CIEL:73239,Tube,CIEL:73239,,,,,,,,,,,
203e9c50-ff86-44f7-8725-b8c5c475bd23,TRUE,10910,"Chloramphenicol, Oral suspension, 25mg/mL, 100mL bottle",CIEL:73239,Bottle,CIEL:73239,,,,,,,,,,,
fcd0306e-3195-4f8d-8b3d-6478b62a07cc,,14577,"Chlorhexidine digluconate, Umbilical cord care solution, 7.1% (delivering 4% chlorhex.), 10mL bottle",CIEL:73265,Bottle,CIEL:73265,,,,,,,,,,,
6ae937dd-d13a-4c8c-acbf-72c046f4dcf6,,14391,"Chlorhexidine digluconate, Umbilical cord care solution, 7.1% (delivering 4% chlorhex.), 10mL bottle/10gram tube",CIEL:73265,Bottle,CIEL:73265,,,,,,,,,,,
f2f89339-e21f-49b3-8fa8-a28a496d5723,,12365,"Chlorhexidine gluconate, 5% concentrated solution, 1L bottle",CIEL:73265,Bottle,CIEL:73265,,,,,,,,,,,
a0b5fc86-543f-4162-93a7-8936a565a172,,10301,"Chloroquine phosphate, 250mg (approx 150mg base), tablet",CIEL:170275,Tablet,CIEL:170275,250,Milligram,,,,,,,,,
c6a8eba0-fce4-11e9-8f0b-362b9e155667,TRUE,12335,"Chlorphenamine maleate, 4mg tablet",CIEL:913,Tablet,CIEL:913,4,Milligram,,,,,,,,,
64cee8e6-3263-49c7-b622-9b95eff36b43,TRUE,12312,"Chlorpromazine hydrochloride, 100mg film coated tablet",CIEL:73331,Tablet,CIEL:73331,100,Milligram,,,,,,,,,
6a2a96d1-c01f-48d3-b3b9-2741bce4e064,,10438,"Chlorpromazine hydrochloride, 25mg film coated tablet",CIEL:73331,Tablet,CIEL:73331,25,Milligram,,,,,,,,,
526d37fd-d378-441d-8af4-423a46447cbc,,12163,"Chlorpromazine hydrochloride, Solution for injection, 25mg/mL, 2mL ampoule",CIEL:73331,Ampule(s),CIEL:73331,,,,,,,,,,,
cf3475bc-b3d7-4b37-b30f-aca93cdc81c7,TRUE,10385,"Cimetidine, 200mg tablet",CIEL:73419,Tablet,CIEL:73419,200,Milligram,,,,,,,,,
24340814-16d2-430a-996f-ae49fc906110,,11315,"Cimetidine, Solution for injection, 100mg/mL, 2mL ampoule",CIEL:73419,Ampule(s),CIEL:73419,,,,,,,,,,,
2a885fd0-f8c9-43fb-883b-fe25d5769338,,10346,"Ciprofloxacin, 500mg film coated tablet",CIEL:73449,Tablet,CIEL:73449,500,Milligram,,,,,,,,,
c6a8ecb8-fce4-11e9-8f0b-362b9e155667,,12160,"Ciprofloxacin, Solution for infusion, 2mg/mL, 100mL polypropylene infusion bag",CIEL:73449,,CIEL:73449,,,,,,,,,,,
bd0adf3e-11f1-4dfd-8a18-be651c8c2599,,12671,"Citalopram, 20mg tablet",CIEL:73461,Tablet,CIEL:73461,20,Milligram,,,,,,,,,
f90d02b1-4f09-4ab7-af81-24a2318ea782,,11306,"Clindamycin hydrochloride, 150mg capsule",CIEL:73547,Capsule,CIEL:73547,150,Milligram,,,,,,,,,
49a07032-9fe2-4c49-958e-97c3ada8e223,,10059,"Clindamycin phosphate, Solution for injection, 150mg/mL, 4mL ampoule",CIEL:73550,Ampule(s),CIEL:73550,,,,,,,,,,,
8d7c8333-43f2-4e81-9923-14cdd790dcc3,,11768,"Clopidogrel, 75mg film coated tablet",CIEL:73602,Tablet,CIEL:73602,75,Milligram,,,,,,,,,
b3bd154a-2f64-451a-bde4-f38be72b72ce,,11779,"Clotrimazole, 500mg vaginal tablet with applicator",CIEL:73624,Tablet,CIEL:73624,500,Milligram,,,,,,,,,
5e11cd96-3277-4a74-968e-1aa3d3312e6c,,11811,"Clotrimazole, Skin cream, 1%, 20 gram tube",CIEL:73624,Tube,CIEL:73624,,,,,,,,,,,
9b522f67-2486-455b-ad73-e84182733504,,12371,"Cloxacillin sodium, Powder for solution for injection, 500mg vial",CIEL:73629,Vial,CIEL:73629,,,,,,,,,,,
17363524-1c69-443b-98a0-7bf538c05ff5,,10127,"Cloxacillin, Powder for oral suspension, 125mg/5mL, 100mL bottle",CIEL:73628,Bottle,CIEL:73628,,,,,,,,,,,
6280e6c2-03e7-4d79-aede-bc61ceaf4185,,10279,"Cloxacillin, 500mg capsule",CIEL:73628,Capsule,CIEL:73628,,,,,,,,,,,
35bb5f48-80b5-40a4-99f2-4742548ba00a,,28270,"Colchicine, 500 microgram tablet",CIEL:73702,Tablet,CIEL:73702,500,Milligram,,,,,,,,,
7e342f10-b26f-4ec2-a22c-09bd1429d203,,11747,"Condom, Male, Latex, with lubricant",CIEL:190,,CIEL:190,,,,,,,,,,,
85153088-b868-4723-aacd-27f25f121685,,11774,"Cotrimoxazole (Sulfamethoxazole/Trimethoprim), 800mg/160mg tablet",CIEL:105281,Tablet,CIEL:84471,800,Milligram,CIEL:85498,160,Milligram,,,,,,
c6a8edda-fce4-11e9-8f0b-362b9e155667,TRUE,12302,"Cotrimoxazole (Sulfamethoxazole/Trimethoprim), 100mg/20mg tablet",CIEL:105281,Tablet,CIEL:84471,100,Milligram,CIEL:85498,20,Milligram,,,,,,
54972d88-156e-465e-8483-9a9e97d5898f,,12186,"Cotrimoxazole (Sulfamethoxazole/Trimethoprim), 400mg/80mg tablet",CIEL:105281,Tablet,CIEL:84471,400,Milligram,CIEL:85498,80,Milligram,,,,,,
b3910fb7-2b17-44e6-8a52-8543af46c935,,10131,"Cotrimoxazole (Sulfamethoxazole/Trimethoprim), Oral suspension, 40mg/mL + 8mg/mL, 100mL bottle",CIEL:105281,Bottle,,,,,,,,,,,,
7e35185d-5465-4277-b7f4-945d8d361faa,,11594,"Cotrimoxazole (Sulfamethoxazole/Trimethoprim), Solution for injection, 80mg/mL + 16mg/mL, 5mL amp",CIEL:105281,Ampule(s),,,,,,,,,,,,
e3c1533d-d1d3-4bdb-9a49-2095880197dd,,11730,"Cyanocobalamin (Vitamin B12), Solution for injection, 1mg/mL, 1mL ampoule",CIEL:86340,Ampule(s),CIEL:86340,,,,,,,,,,,
a114a69a-3b5b-4d39-a4ea-e6a28b90f80f,,12313,"Dantrolene sodium, Lyophilized powder for solution for injection, 20mg vial",CIEL:74246,Vial,CIEL:74246,,,,,,,,,,,
6d8e4b12-7688-4d58-972d-41ffb2cd62c0,TRUE,10890,"Dapsone, 100mg tablet",CIEL:74250,Tablet,CIEL:74250,100,Milligram,,,,,,,,,
abc4ad79-bf56-46e3-b945-0762e0d3d491,,10231,"Dexamethasone sodium phosphate, Eye drop, 0.1%, 5mL bottle",CIEL:74614,Bottle,CIEL:74614,,,,,,,,,,,
c08f2263-d176-4815-910f-d4d030bb5c40,,11083,"Dexamethasone sodium phosphate, Solution for injection, 4mg/mL, 1mL ampoule",CIEL:74614,Ampule(s),CIEL:74614,,,,,,,,,,,
0c72529a-daa1-433c-bd3c-573d0ed4a61e,TRUE,21176,"Dexamethasone sodium phosphate, Solution for injection, 4mg/mL, 2mL vial",CIEL:74614,Vial,CIEL:74614,,,,,,,,,,,
bc357307-6820-4e63-b236-2b53e4a714ea,TRUE,13168,"Dexamethasone, 2mg tablet",CIEL:74609,Tablet,CIEL:74609,2,Milligram,,,,,,,,,
399834b1-b44b-11e3-a5e2-0800200c9a66,,12208,"Dexamethasone, 4mg tablet",CIEL:74609,Tablet,CIEL:74609,4,Milligram,,,,,,,,,
11341840-45ed-476b-8deb-eb3eafb8235f,,12210,"Dexamethasone, 500 microgram tablet",CIEL:74609,Tablet,CIEL:74609,500,Microgram,,,,,,,,,
e412db6c-f58e-4c9e-abe6-4dac164fe525,,10599,"Dextrose (Glucose), Hypertonic solution for injection, 50% (500mg/mL), 50mL vial",CIEL:104745,Vial,CIEL:104745,,,,,,,,,,,
f22d17a9-c4d6-4556-8637-c9bbca0de54e,TRUE,17878,"Dextrose, Hypertonic solution for injection, 10% (100mg/mL), 10mL ampoule",CIEL:161922,Ampule(s),CIEL:161922,,,,,,,,,,,
c6a91df0-fce4-11e9-8f0b-362b9e155667,TRUE,12209,"Dextrose 5% in Sodium chloride 0.9%, Intravenous infusion, 1000mL nipple head bottle",CIEL:162857,Bottle,CIEL:162857,,,,,,,,,,,
e173afee-7e6f-480a-8cff-9e87fe04c547,TRUE,21403,"Dextrose 5% in Sodium chloride 0.9%, Intravenous infusion, 1000mL flex bag with additive port",CIEL:162857,,CIEL:162857,,,,,,,,,,,
843b0d53-579b-45a6-9a9a-3b9024c7cfe9,TRUE,11886,"Dextrose 5% in Sodium chloride 0.9%, Intravenous infusion, 500mL nipple head bottle",CIEL:162857,Bottle,CIEL:162857,,,,,,,,,,,
7a467e52-e82d-4cf8-8095-f947a937ede4,,21404,"Dextrose 5% in Sodium chloride 0.9%, Intravenous infusion, 500mL twin port bag/bottle",CIEL:162857,Bottle,CIEL:162857,,,,,,,,,,,
7b041f38-24cf-4f3b-ae97-6d17a2b5f864,TRUE,11553,"Dextrose 5% in water, Intravenous infusion, 500mL nipple head bottle",CIEL:161250,Bottle,CIEL:161250,,,,,,,,,,,
af8c0b98-dfbe-11e9-8a34-2a2ae2dbcce4,,20820,"Dextrose 5% in water, Intravenous infusion, 1000mL euro head bottle",CIEL:161250,Bottle,CIEL:161250,,,,,,,,,,,
64fdf6f7-7bd9-49e5-bc10-629ed6fc3b0e,,10961,"Dextrose 5% in water, Intravenous infusion, 500mL twin port bag/bottle",CIEL:161250,Bottle,CIEL:161250,,,,,,,,,,,
e44a4246-603d-4e9b-b260-c39afc51df33,,21363,"Dextrose 5% in water, Intravenous infusion, 1000mL twin port bag/bottle",CIEL:161250,Bottle,CIEL:161250,,,,,,,,,,,
09c8cd20-3d4f-45bb-8192-b8d14b7f7fb6,,10129,"Dextrose 10% in water, Intravenous infusion, 500mL twin port bag/bottle",CIEL:161922,,CIEL:161922,,,,,,,,,,,
a4f859c4-2962-457d-b63a-175b43472393,TRUE,21402,"Dextrose 10% in water, Intravenous infusion, 500mL nipple head bottle",CIEL:161922,Bottle,CIEL:161922,,,,,,,,,,,
54050882-524f-46c2-b898-d514ee633ab0,TRUE,10737,"Dextrose, 5% Intravenous infusion, 1000mL plastic bottle, PVC free",CIEL:161250,Bottle,CIEL:161250,,,,,,,,,,,
78fc4b88-dfbe-11e9-8a34-2a2ae2dbcce4,,11087,"Diatrizoate meglumine 66% + Diatrizoate sodium 10%, Contrast media for Oral administration, 120mL bottle (Gastrografin 37%)",CIEL:74739,Bottle,CIEL:74741,,,CIEL:84053,,,,,,,,
39d7a7ee-b0ff-48e0-a7ca-685688147c8f,,10873,"Diazepam, 5mg tablet",CIEL:74745,Tablet,CIEL:74745,5,Milligram,,,,,,,,,
923e3e90-8b5c-4ae6-b17f-b6d547803437,,10664,"Diazepam, Solution for injection, 5mg/mL, 2mL vial",CIEL:74745,Vial,CIEL:74745,,,,,,,,,,,
c6a8f6cc-fce4-11e9-8f0b-362b9e155667,,12244,"Diclofenac sodium, 50mg enteric coated tablet",CIEL:74782,Tablet,CIEL:74782,50,Milligram,,,,,,,,,
b5f01af3-b4c0-45f6-bbd7-aa2e9e846987,TRUE,10854,"Diclofenac sodium, Solution for injection, 25mg/mL, 1mL ampoule",CIEL:74782,Ampule(s),CIEL:74782,,,,,,,,,,,
b46c6f06-3ea1-46cd-a6e9-70855d950916,,20824,"Diclofenac sodium, Solution for injection, 25mg/mL, 3mL ampoule",CIEL:74782,Ampule(s),CIEL:74782,,,,,,,,,,,
aa0d0f51-d60e-4118-8121-10194a640589,,10574,"Digoxin, 250 microgram tablet",CIEL:74860,Tablet,CIEL:74860,250,Microgram,,,,,,,,,
91e556b3-e7f0-4a65-b994-fc56f09bf768,,10937,"Digoxin, Solution for injection, 250 microgram/mL, 2mL ampoule",CIEL:74860,Ampule(s),CIEL:74860,,,,,,,,,,,
81694757-3336-4195-ac6b-ea574b9b8597,,11758,"Diphenhydramine hydrochloride, 25mg tablet",CIEL:75018,Tablet,CIEL:75018,25,Milligram,,,,,,,,,
b476d417-800f-4e2e-89ec-09de8fd07607,,10141,"Diphenhydramine hydrochloride, Solution for injection, 50mg/mL, 1mL ampoule",CIEL:75018,Ampule(s),CIEL:75018,,,,,,,,,,,
019e2cdc-7526-4165-b1b4-59400c421e68,,11497,"Dopamine hydrochloride, Solution for injection, 40mg/mL, 5mL ampoule",CIEL:75178,Ampule(s),CIEL:75178,,,,,,,,,,,
50d19d57-0387-43f8-afda-c45207a0fbb8,,12369,"Doxazosin mesylate, 2mg tablet",CIEL:75209,Tablet,CIEL:75209,2,Milligram,,,,,,,,,
8aad2a23-2977-4b5b-a30a-4a9142ce774b,,11089,"Doxycycline, 100mg tablet",CIEL:75222,Tablet,CIEL:75222,100,Milligram,,,,,,,,,
78f97b9c-dfbe-11e9-8a34-2a2ae2dbcce4,,11615,"Efavirenz (EFV), 200mg tablet",CIEL:75523,Tablet,CIEL:75523,200,Milligram,,,,,,,,,
78f96210-dfbe-11e9-8a34-2a2ae2dbcce4,,10288,"Efavirenz (EFV), 600mg tablet",CIEL:75523,Tablet,CIEL:75523,600,Milligram,,,,,,,,,
